 id x y
701 701 131.902081 43.1259788
702 702 131.9025621 43.1256165
703 703 131.9027604 43.1253711
704 704 131.9028423 43.124442
705 705 131.8982021 43.1265526
706 706 131.8615812 43.0923251
707 707 131.8678667 43.0975864
708 708 131.8676856 43.0932411
709 709 131.8678401 43.0931047
710 710 131.8904167 43.1203221
711 711 131.8877211 43.120805
712 712 131.8910225 43.1187943
713 713 131.8924095 43.1185295
714 714 131.8926285 43.1184877
715 715 131.8932653 43.118366
716 716 131.893801 43.1182637
717 717 131.8940078 43.1182552
718 718 131.9495929 43.1038802
719 719 131.950742 43.1032836
720 720 131.9476273 43.1049116
721 721 131.9535724 43.1094375
722 722 131.9561452 43.1120792
723 723 131.9460252 43.1164157
724 724 131.9489466 43.1161077
725 725 131.9511541 43.1164299
726 726 131.9672294 43.0991295
727 727 131.9691524 43.0977753
728 728 131.9771993 43.0985061
729 729 131.9798645 43.0990556
730 730 131.9827691 43.1007824
731 731 131.91991 43.0946424
732 732 131.9195564 43.093668
733 733 131.9197064 43.0937388
734 734 131.9202206 43.0939014
735 735 131.9206736 43.0938973
736 736 131.9212887 43.0938578
737 737 131.9217664 43.093856
738 738 131.9215723 43.0955592
739 739 131.921602 43.0962826
740 740 131.9216039 43.0967292
741 741 131.9215523 43.0970825
742 742 131.9213407 43.099453
743 743 131.9121663 43.1014566
744 744 131.9235687 43.1207794
745 745 131.9233345 43.120607
746 746 131.9229261 43.1203587
747 747 131.9148627 43.1026557
748 748 131.9157822 43.1017273
749 749 131.9149934 43.1021499
750 750 131.9141316 43.1025522
751 751 131.9136372 43.1019476
752 752 131.9134324 43.1016544
753 753 131.9129133 43.101755
754 754 131.9241906 43.1023865
755 755 131.9231663 43.1021147
756 756 131.9231523 43.1017104
757 757 131.9231354 43.1014453
758 758 131.9229538 43.1013402
759 759 131.9203272 43.101302
760 760 131.9773393 43.1001227
761 761 131.9829808 43.1030808
762 762 131.9806796 43.1071875
763 763 131.8974794 43.1148163
